,Scores,BBox
109,0.99910027,"[[284.43594 801.59216]
 [326.20624 801.59216]
 [326.20624 825.46094]
 [284.43594 825.46094]]"
110,0.9265675,"[[326.20624 801.59216]
 [367.97656 801.59216]
 [367.97656 821.4828 ]
 [326.20624 821.4828 ]]"
111,0.9806,"[[372.0898  800.4738 ]
 [434.32492 803.1796 ]
 [433.33038 826.0539 ]
 [371.09528 823.348  ]]"
112,0.914119,"[[139.23438 803.58124]
 [179.01562 803.58124]
 [179.01562 825.46094]
 [139.23438 825.46094]]"
113,0.94174755,"[[181.00468 803.58124]
 [218.79688 803.58124]
 [218.79688 821.4828 ]
 [181.00468 821.4828 ]]"
114,0.96022654,"[[220.78593 803.58124]
 [244.6547  803.58124]
 [244.6547  821.4828 ]
 [220.78593 821.4828 ]]"
115,1.0202069,"[[246.64375 803.58124]
 [282.44687 803.58124]
 [282.44687 821.4828 ]
 [246.64375 821.4828 ]]"
116,0.94766515,"[[246.96674 944.1914 ]
 [313.71295 939.2473 ]
 [315.4442  962.6195 ]
 [248.69801 967.56366]]"
117,0.9741026,"[[131.71138 940.4721 ]
 [178.97623 945.1986 ]
 [176.71146 967.84625]
 [129.44661 963.1198 ]]"
118,0.9652002,"[[179.01562 944.8047 ]
 [210.84062 944.8047 ]
 [210.84062 964.6953 ]
 [179.01562 964.6953 ]]"
119,0.96117944,"[[210.84062 944.8047 ]
 [246.64375 944.8047 ]
 [246.64375 968.67346]
 [210.84062 968.67346]]"
120,0.9518503,"[[316.26093 944.8047 ]
 [350.075   944.8047 ]
 [350.075   964.6953 ]
 [316.26093 964.6953 ]]"
121,0.96934694,"[[350.075   944.8047 ]
 [393.83438 944.8047 ]
 [393.83438 964.6953 ]
 [350.075   964.6953 ]]"
122,0.9738343,"[[397.8125  944.8047 ]
 [441.57187 944.8047 ]
 [441.57187 964.6953 ]
 [397.8125  964.6953 ]]"
123,0.9366661,"[[ 320.23907  988.5641 ]
 [ 360.02032  988.5641 ]
 [ 360.02032 1010.4437 ]
 [ 320.23907 1010.4437 ]]"
124,0.9867985,"[[ 147.19063  990.5531 ]
 [ 194.92813  990.5531 ]
 [ 194.92813 1010.4437 ]
 [ 147.19063 1010.4437 ]]"
125,0.8904386,"[[ 290.40314  990.5531 ]
 [ 318.25     990.5531 ]
 [ 318.25    1010.4437 ]
 [ 290.40314 1010.4437 ]]"
126,0.97158146,"[[ 360.02032  990.5531 ]
 [ 397.8125   990.5531 ]
 [ 397.8125  1010.4437 ]
 [ 360.02032 1010.4437 ]]"
127,0.9822459,"[[  85.529686  992.5422  ]
 [ 123.32188   992.5422  ]
 [ 123.32188  1012.4328  ]
 [  85.529686 1012.4328  ]]"
